code,change_date,question,media,right_answer,first_wrong_answer,second_wrong_answer
[06040174],(26.04.2006),"Ve výhledu z motorového vozidla vidíte děti, které si hrají na chodníku. Jak se zachováte?",,"Protože jsou děti na chodníku, nemáte důvod ke zvýšení opatrnosti ani ke změně způsobu jízdy.",Z dostatečné vzdálenosti upozorníte hrající si děti na možné nebezpečí zvukovým výstražným znamením.,Budete s ohledem na možné vběhnutí dětí do vozovky připraven(-a) brzdit a podle okolností snížíte rychlost jízdy.
[06040187],(26.04.2006),"Řidič, který při předjíždění motorového vozidla vybočuje ze směru své jízdy:",,Nemusí dávat znamení o změně směru jízdy.,"Dává znamení o změně směru jízdy jen tehdy, vyžaduje-li to bezpečnost provozu.",Musí dávat znamení o změně směru jízdy.
[06040193],(31.12.2015),"Jak se zachováte v místě, kde je tato výstražná dopravní značka?",/Vestnik/GetImageQuestion/0038.jpg,"Nezměním způsob jízdy ani chování, protože není důvod očekávat změnu dopravní situace.","Zvýším rychlost jízdy, abych byl co nejrychleji z místa zúžení.","Přizpůsobím jízdu tomu, že se vozovka oproti předcházejícímu úseku výrazně zužuje, a to z obou stran"
[06040194],(03.01.2016),Tato dopravní značka označuje:,/Vestnik/GetImageQuestion/P2_6328164310901.gif,Vedlejší pozemní komunikaci.,Konec hlavní pozemní komunikace.,Hlavní pozemní komunikaci
[06040205],(26.04.2006),Můžete při vjíždění na tramvajový pás omezit v jízdě tramvaj?,/Vestnik/GetImageQuestion/0296_6328165245260.swf.mp4,Ano.,Ne.,
[06040213],(26.04.2006),Zraněný si po dopravní nehodě stěžuje na bolesti břicha a pocit žízně:,,Podáváme mu studené nápoje.,Podáváme mu dostatek vlažných nápojů.,Nepodáváme mu žádné nápoje.
[06040223],(26.04.2006),Vozidlo vjíždějící na pozemní komunikaci:,,"Musí být v případě, že tak lze učinit bez větších obtíží, předem očištěno.",Musí být očištěno na nejbližším vhodném místě po vjetí na pozemní komunikaci.,"Musí být předem očištěno tak, aby neznečišťovalo pozemní komunikaci."
[06040230],(26.04.2006),Pojištění odpovědnosti z provozu vozidla se vztahuje na:,,"Vlastníka vozidla, který odpovídá za škodu způsobenou provozem vozidla. Na ostatní uživatele vozidla se toto pojištění nevztahuje.","Vlastníka vozidla při účasti na organizovaném motoristickém závodu, kde řidič není povinen dodržovat pravidla o provozu na pozemních komunikacích.","Každou osobu, která odpovídá za škodu způsobenou provozem vozidla uvedeného v pojistné smlouvě."
[06040232],(26.04.2006),Provozovatel motorového	vozidla odpovídá:,,"Pouze za škodu, která byla vyvolána porušením jeho právních povinností.","Pouze za škodu, která byla vyvolána porušením povinností řidiče tohoto vozidla.",Za škodu vyvolanou zvláštní povahou provozu motorového vozidla.
[06040239],(26.04.2006),"Autobus s označením ""Označení autobusu přepravujícího děti"" zastavil v označené zastávce. Řidič vozidla, které jede za ním:",,"Smí tento autobus objet, pokud při tom dbá zvýšené opatrnosti a přihlédne k možnosti vběhnutí dětí do vozovky.","Smí autobus objet, jen pokud mu dopravce dává znamení, že je možné autobus bezpečně objet.",Je povinen zastavit vozidlo za tímto autobusem a pokračovat v jízdě může až po odjezdu autobusu ze zastávky.
